Focus_Time_min,Break_Time_min,Engagement_Level,Distraction_Count,Mood_Score,Medication,Time_of_Day,Task_Type,Next_Cycle_Delay_min
27.980284918067397,2.623313638927512,4,1,8,1,Evening,Creative,6.658746801724123
24.170414192972892,3.734017223675754,5,7,8,0,Afternoon,Routine,10.78573486146241
28.886131228604157,4.295565912448897,6,8,4,1,Evening,Analytical,12.886250500296766
34.13817913844815,5.179602693109629,1,7,3,0,Afternoon,Analytical,15.0
23.595079751659984,6.228994791928254,6,7,9,0,Evening,Analytical,9.986378053339655
23.595178258304916,5.8329631320461175,7,4,3,1,Morning,Routine,10.822740527550268
34.47527689304435,3.5848102418630177,9,8,3,0,Afternoon,Routine,11.7304333277893
29.604608374917454,4.553945285401217,8,8,3,1,Evening,Routine,12.944123280598257
22.183153684390287,5.09165070644308,3,4,1,0,Afternoon,Routine,14.567887334567494
28.25536026151579,4.685351450664201,5,8,7,0,Morning,Analytical,14.458145430160847
22.21949384312523,4.676845728958047,1,0,5,0,Afternoon,Creative,10.710419615023284
22.205621478578458,2.9327080104148737,9,2,7,0,Morning,Routine,5.477471418014673
26.451773629396204,3.6167190186324314,7,4,5,1,Morning,Routine,8.939169361324279
13.520318532053214,4.5164721810328725,3,7,8,1,Afternoon,Creative,12.64418326596213
14.650493004921803,2.0,6,2,6,1,Evening,Analytical,6.026720212003276
21.626274824554166,5.768773184011826,1,2,7,0,Afternoon,Analytical,11.396055779157301
18.923013277993455,3.3527850803467167,3,6,1,0,Evening,Analytical,14.892486278308654
26.885483995571644,5.824205759918166,1,9,7,0,Afternoon,Analytical,15.0
19.551855546872734,5.718699205365092,7,3,5,1,Afternoon,Routine,8.729349801072274
16.526177791988253,4.347568348265138,3,5,4,1,Afternoon,Analytical,12.198874205556487
33.79389261352932,6.2006579908418455,5,4,7,1,Afternoon,Creative,9.842968143830465
23.645342197080787,5.8918368139099195,5,2,5,1,Evening,Creative,9.474145542038057
25.405169228127544,4.629246234998432,9,1,4,0,Evening,Routine,5.3273756431996295
16.45151088271926,4.493888461769962,1,9,4,1,Evening,Analytical,15.0
21.733703652848902,6.316679342797228,3,4,1,0,Evening,Creative,14.983490061866467
25.665535538259196,5.278416607289197,4,7,5,0,Afternoon,Routine,13.81400941145267
18.094038535466183,6.25363660204177,4,7,1,1,Morning,Routine,15.0
27.254188110074033,2.1332311107767157,8,1,3,0,Evening,Routine,6.687978334146825
21.39616786048717,5.1181821164233545,8,0,9,0,Evening,Creative,3.7000906645342773
23.24983750124034,3.1071090956367526,4,4,5,0,Afternoon,Routine,10.473976278233325
21.38976032662362,4.9690537910158845,9,3,8,0,Morning,Analytical,6.9866418508838555
36.113669107053624,5.856584250015061,9,2,7,1,Afternoon,Analytical,5.608658709578381
24.919016651572395,7.086968174898923,3,3,5,0,Evening,Creative,12.212480526991937
18.6537344262646,3.874199925875377,9,0,5,1,Morning,Analytical,5.9784513126267855
29.935269472619133,4.36915423363762,8,2,2,0,Evening,Routine,8.15679822957779
17.67493810017387,4.885360511509355,4,3,6,1,Morning,Routine,10.861848209489889
26.25318157002853,3.830562678245731,5,9,5,1,Afternoon,Analytical,13.213944364572544
13.241979256721347,6.174271674547109,2,4,3,0,Afternoon,Creative,14.891367383070273
17.030883706609416,4.915886545561252,7,0,9,1,Evening,Analytical,5.0077655255023625
26.18116741521474,5.1463484280512555,2,9,6,0,Afternoon,Routine,15.0
